HA;A;A;A;A;A;A;A;A;A;A;A;A;A
18901583144128803331;35722048871867506768;10148134180077108996;33926997444093618679;2952355336017494022;31964142489214884977;8911555757020317794;31153131025111774973;17139262229929340908;27481605767517492656;3944486878842672820;11981600109930277147;35095788955762421641;6244279756845048857
34755887162157893729;27620295434256615131;4103406074916106487;11745325273387677168;19108949638769226163;314106430740850254;31392022315259143094;3715193255951757067;35751208354563722564;34769407311293729474;22956484026235366938;13222557756118107230;35774046025283011850;1626270243549092740
7524568836100118575;19096199582328366930;15322842339846391332;31529587163215673335;13423819580211412413;20903394523834522702;9158466422462429865;15392674709404905792;2984434817929891233;28576455182932813841;16875786353366671261;8257215663409031807;16026082197618486155;35945557067034061633
21716926936340130429;20441835414807811608;10302311927949290024;8236206952571903599;6581597404823379350;4206015956906755871;7265672515839093371;25879793554611664265;4945817114828523154;10443485904244949075;34234254534697759096;29627032621927313279;9273437586139324484;25824134346415421997
18563784297598821149;3814935621704422763;33526409695658202427;11662560607688584854;35999795919177270218;19914405327408922053;4348925212595773388;3919325778223023441;33324093932121282153;309976815409924943;28577195119558713483;5648242857635089186;1534113162993998354;35993480509397472427
15265601318075564112;9245108374894468220;25996405197762881057;23076317553606128621;5933700894253091378;31979830609261293716;24314622488680773829;9876561624832592363;14810695112666364449;4316884201959841453;12050442052869526629;23498941551028736029;18437166461642003249;1864183603911193060
16517393770275492411;34977477717779230448;17111602474847177912;36176501103238717087;5295613927788047790;27075985176418129069;12880911391276519202;6315919488109823467;16183869206527857088;31995007780257587614;8048714282267192058;32844673485099956718;22387446819405782661;7590025588175147315
32898152541247724455;9189199235249351907;2285922052720906663;36560872299563615586;19016013221057560199;23633117722537032418;8465179183434481944;5528903618811987007;9258118280019263409;31641619310375844617;6459013398254677603;3660381251327036733;4359695144536888180;12256530724868488753
8289950668927859990;26922932422732958467;11371393199991002865;23026273562085428242;16758307197815708675;35963928874982895918;2158456365546210841;13464506152299736991;1055501640946074377;15083251245134943375;29335747571748451878;33816803554094253331;33871720739765921215;21913932402223171888
16054006238315732792;27437557529772785853;1540029543542629710;2965871051270309233;7328089603357354338;26403010447191550079;32106591172467050298;7217297202281882182;3291919244569709471;27000999143680234043;9712365544140642013;22100430377570345710;26882822405483599576;22395440569956068326
22536552247284615200;8624208529826753845;22447889875664189932;14715934597386401366;3819711284450609459;25554563769886543436;6648692348226995011;308264222228631625;9633711613824279923;4690374866143715970;25567492902157428477;16828916669671680755;23146423948006124536;6621039790576983137
19874472051697960378;19546509521156446240;8693178879558157241;23504298695733385273;22210036190645538439;2966512981900097804;15531054952397136110;12887175554335619215;31253185973138244235;8923739003266541261;23133959701971670097;31883111138866900700;19150201154647087084;28450325540931700645
10804509661985326774;32501836328894448102;31125891995881296159;20284937126534129770;29426685862751866620;35767827551543108469;24860002330342071167;26410630992985168716;15181272927116592032;1084263029818489348;14448260518454784291;30220875605909486617;30221918091442709801;27804340203292329145
16864914588617790551;29807117108441239506;18434960537153605023;10512658804072209447;9550419352283864140;19085491616617391836;24873171458063898701;28679344412470221201;5334731030215716629;23608682823712217056;24981733874852949187;12460231913958934546;15105848859064722418;28262510814464260754
